t	vin	vout
26.62928580	0.98574790	209.20440000
26.66928580	0.96823030	204.76390000
26.70928580	0.96823030	204.76390000
26.74928580	0.96823030	204.76390000
26.78928580	0.98574790	200.32350000
26.82928580	0.96823030	204.76390000
26.86928580	0.98574790	200.32350000
26.90928580	0.98574790	200.32350000
26.94928580	0.96823030	200.32350000
26.98928580	0.96823030	195.89830000
27.02928580	0.98574790	200.32350000
27.06928580	0.98574790	195.89830000
27.10928580	0.98574790	200.32350000
27.14928580	0.96823030	200.32350000
27.18928580	0.98574790	195.89830000
27.22928580	0.96823030	195.89830000
27.26928580	0.98574790	195.89830000
27.30928580	0.98574790	195.89830000
27.34928580	0.98574790	195.89830000
27.38928580	0.98574790	195.89830000
27.42928580	0.98574790	195.89830000
27.46928580	0.98574790	195.89830000
27.50928580	0.98574790	195.89830000
27.54928580	0.98574790	195.89830000
27.58928580	0.98574790	195.89830000
27.62928580	0.98574790	195.89830000
27.66928580	0.98574790	195.89830000
27.70928580	0.98574790	191.45790000
27.74928580	0.98574790	195.89830000
27.78928580	0.98574790	191.45790000
27.82928579	0.96823030	191.45790000
27.86928579	0.98574790	191.45790000
27.90928579	0.98574790	191.45790000
27.94928579	0.98574790	191.45790000
27.98928579	0.96823030	191.45790000
28.02928579	0.96823030	191.45790000
28.06928579	0.96823030	191.45790000
28.10928579	0.98574790	187.01740000
28.14928579	0.96823030	191.45790000
28.18928579	0.98574790	187.01740000
28.22928579	0.98574790	191.45790000
28.26928579	0.98574790	187.01740000
28.30928579	0.98574790	187.01740000
28.34928579	0.96823030	187.01740000
28.38928579	0.98574790	187.01740000
28.42928579	0.98574790	187.01740000
28.46928579	0.98574790	187.01740000
28.50928579	0.98574790	187.01740000
28.54928579	0.98574790	187.01740000
28.58928579	0.98574790	187.01740000
28.62928579	0.98574790	187.01740000
28.66928579	0.98574790	182.57700000
